Age,Items Purchased,Total Spent,Discount (%),Satisfaction Score,Warranty Extension,Gender,Region,Product Category,Payment Method,Revenue,Store Rating,Loyalty Score,Membership Status,Preferred Visit Time
56,1,29.22619513,47.07738049,1,1,Male,South,Accessories,UPI,149.2521454,3.66046066,3.597132926,1,Evening
69,10,420.1426123,7.985738767,3.760294243,1,Female,South,Accessories,Cash,1485.524222,3.551553,25.76490281,1,Evening
46,4,127.742817,37.2257183,1.771240297,1,Male,East,Laptop,Credit Card,85.55013081,3.922839151,7.022398758,1,Morning
32,9,417.7226829,8.227731715,1.926831173,0,Female,East,Tablet,UPI,824.1187237,3.860421671,7.635412265,1,Afternoon
60,13,608.0313659,5,3.902926838,0,Female,South,Tablet,UPI,2463.590392,3.812819942,29.46111934,0,Morning
25,14,252.8342359,24.71657641,3.651287618,0,Male,North,Television,Credit Card,737.4478714,4.52395324,16.914975,0,Morning
38,10,477.772666,5,5,0,Female,East,Accessories,Cash,2402.374713,4.132269595,31.95041646,0,Morning
56,6,263.3623167,23.66376833,2.358141046,1,Female,North,Television,UPI,554.9476546,4.351833241,13.2611744,0,Afternoon
36,6,256.17525,24.382475,4.122155942,0,Other,West,Laptop,Net Banking,879.5535706,3.899151768,27.67930103,0,Morning
40,1,22.03189689,47.79681031,1,0,Female,North,Mobile,Credit Card,-18.80896351,4.728712677,4.476382961,0,Morning
28,10,431.7917231,6.820827694,3.606047396,0,Male,East,Tablet,Debit Card,1549.938443,4.023306681,20.72396813,0,Evening
28,2,89.50929143,41.04907086,4.190848126,0,Female,South,Laptop,UPI,124.9609181,3.945122354,24.51212832,1,Afternoon
41,11,276.3228788,22.36771212,2.899873048,0,Female,West,Tablet,Net Banking,708.2028747,4.119726847,20.98191332,0,Evening
53,6,289.9746165,21.00253835,3.152371194,0,Female,North,Television,Cash,909.3749078,4.189775619,23.52049284,0,Evening
57,2,33.49021025,46.65097898,4.946795274,0,Female,South,Mobile,Cash,318.7763629,3.841492406,17.53295777,0,Morning
41,3,60.74047159,43.92595284,1,1,Male,West,Accessories,Credit Card,-20.16731478,3.7860318,0,1,Morning
20,4,135.2613593,36.47386407,2.945474327,0,Male,North,Tablet,Net Banking,347.2671445,4.203600318,12.81262993,1,Morning
39,11,386.6801014,11.33198986,5,0,Female,South,Accessories,Credit Card,1693.779203,4.092689262,25.51359601,0,Evening
19,5,187.9012646,31.20987354,1.229296793,0,Female,West,Television,UPI,222.9476563,4.132783354,6.546005659,0,Afternoon
41,9,140.3452757,35.96547243,3.122714331,0,Male,East,Tablet,Credit Card,522.8526539,4.137510692,17.16933443,0,Afternoon
61,12,583.3540453,5,3.869501459,0,Other,North,Television,Debit Card,2282.200007,4.382060719,25.75564355,1,Evening
47,4,66.24233298,43.3757667,1,0,Female,North,Accessories,Credit Card,22.26378281,4.192512255,7.323863898,0,Evening
55,13,260.0931885,23.99068115,3.370864717,1,Female,West,Television,Credit Card,645.5213794,4.089632371,17.36247494,1,Afternoon
19,11,170.3955892,32.96044108,3.301089239,0,Female,North,Television,UPI,428.7879469,4.169539636,17.93929282,1,Morning
38,9,313.5604065,18.64395935,5,1,Female,South,Television,Net Banking,1334.000936,3.473317318,27.94785548,0,Afternoon
50,11,523.9227503,5,5,1,Female,North,Laptop,Debit Card,2551.922888,4.566489208,30.28984294,1,Evening
29,10,383.0815081,11.69184919,3.695921964,0,Female,North,Laptop,Credit Card,1151.381012,4.159145052,20.79377085,1,Morning
39,3,131.3790342,36.86209658,3.701013852,0,Male,South,Tablet,UPI,556.909265,4.010857084,20.45701612,0,Morning
61,8,123.718737,37.6281263,1,0,Male,South,Television,UPI,336.9542972,3.727451572,3.125274748,0,Afternoon
42,12,407.6464254,9.235357464,5,0,Male,East,Television,UPI,1947.927241,3.461973432,34.23813512,0,Morning
66,1,31.08470421,46.89152958,1,1,Male,South,Television,Net Banking,-20.50553033,3.785437378,2.674219377,0,Evening
44,11,357.1026585,14.28973415,4.462382399,0,Male,North,Laptop,Credit Card,1353.120227,3.831663758,27.06907307,1,Afternoon
59,9,157.7471534,34.22528466,2.424487282,0,Female,West,Accessories,Cash,207.3666837,4.051071605,12.7264773,0,Evening
45,9,350.5971387,14.94028613,1,0,Female,North,Television,Debit Card,245.001088,4.15416044,7.031360731,0,Evening
33,10,326.1271452,17.38728548,1.013027734,0,Male,East,Mobile,Cash,259.5268164,4.243773504,3.790248728,0,Evening
32,2,83.56041949,41.64395805,1.040687075,0,Female,West,Tablet,Net Banking,142.9780777,3.946665745,4.413738967,0,Afternoon
64,4,127.9406888,37.20593112,1,0,Female,East,Laptop,Credit Card,143.1853977,3.793981231,5.552528881,0,Evening
68,13,262.9686445,23.70313555,4.292108651,1,Male,North,Accessories,Cash,1063.576628,4.333959537,22.35381476,0,Evening
61,8,301.5119471,19.84880529,4.758231404,0,Female,South,Mobile,Cash,1047.577364,3.488080373,28.83112935,0,Morning
69,7,147.2346587,35.27653413,2.126687693,0,Male,West,Television,Cash,164.5783811,3.838580822,17.12028839,0,Morning
20,1,45.53380972,45.44661903,1,0,Female,North,Laptop,Debit Card,-125.1713499,3.827213119,5.243038722,0,Evening
54,5,182.2953418,31.77046582,4.583231296,0,Male,West,Television,Credit Card,634.5276463,3.970018202,26.27416082,1,Morning
68,7,143.5149515,35.64850485,5,0,Female,East,Tablet,UPI,671.8342,4.049461969,30.15262761,1,Afternoon
24,4,194.727328,30.5272672,2.241426935,0,Female,North,Laptop,Credit Card,305.9809123,4.225225346,9.945222195,0,Morning
