Age,Items Purchased,Total Spent,Discount (%),Satisfaction Score,Warranty Extension,Gender,Region,Product Category,Payment Method,Revenue,Store Rating,Loyalty Score,Membership Status,Preferred Visit Time
56,1,29.23,47.07738049,1,1,Male,South,Accessories,UPI,149.25,3,3,1.0,Evening
69,10,420.14,7.985738767,3,1,Female,South,Accessories,Cash,1485.52,3,25,1.0,Evening
46,4,127.74,37.2257183,1,1,Male,East,Laptop,Credit Card,85.55,3,7,1.0,Morning
32,9,417.72,8.227731715,1,0,Female,East,Tablet,UPI,824.12,3,7,1.0,Afternoon
60,13,608.03,5.0,3,0,Female,South,Tablet,UPI,2463.59,3,29,0.0,Morning
25,14,252.83,24.71657641,3,0,Male,North,Television,Credit Card,737.45,4,16,0.0,Morning
38,10,477.77,5.0,5,0,Female,East,Accessories,Cash,2402.37,4,31,0.0,Morning
56,6,263.36,23.66376833,2,1,Female,North,Television,UPI,554.95,4,13,0.0,Afternoon
36,6,256.18,24.382475,4,0,Other,West,Laptop,Net Banking,879.55,3,27,0.0,Morning
40,1,22.03,47.79681031,1,0,Female,North,Mobile,Credit Card,-18.81,4,4,0.0,Morning
28,10,431.79,6.820827694,3,0,Male,East,Tablet,Debit Card,1549.94,4,20,0.0,Evening
28,2,89.51,41.04907086,4,0,Female,South,Laptop,UPI,124.96,3,24,1.0,Afternoon
41,11,276.32,22.36771212,2,0,Female,West,Tablet,Net Banking,708.2,4,20,0.0,Evening
53,6,289.97,21.00253835,3,0,Female,North,Television,Cash,909.37,4,23,0.0,Evening
57,2,33.49,46.65097898,4,0,Female,South,Mobile,Cash,318.78,3,17,0.0,Morning
41,3,60.74,43.92595284,1,1,Male,West,Accessories,Credit Card,-20.17,3,0,1.0,Morning
20,4,135.26,36.47386407,2,0,Male,North,Tablet,Net Banking,347.27,4,12,1.0,Morning
39,11,386.68,11.33198986,5,0,Female,South,Accessories,Credit Card,1693.78,4,25,0.0,Evening
19,5,187.9,31.20987354,1,0,Female,West,Television,UPI,222.95,4,6,0.0,Afternoon
41,9,140.35,35.96547243,3,0,Male,East,Tablet,Credit Card,522.85,4,17,0.0,Afternoon
61,12,583.35,5.0,3,0,Other,North,Television,Debit Card,2282.2,4,25,1.0,Evening
47,4,66.24,43.3757667,1,0,Female,North,Accessories,Credit Card,22.26,4,7,0.0,Evening
55,13,260.09,23.99068115,3,1,Female,West,Television,Credit Card,645.52,4,17,1.0,Afternoon
19,11,170.4,32.96044108,3,0,Female,North,Television,UPI,428.79,4,17,1.0,Morning
38,9,313.56,18.64395935,5,1,Female,South,Television,Net Banking,1334.0,3,27,0.0,Afternoon
50,11,523.92,5.0,5,1,Female,North,Laptop,Debit Card,2551.92,4,30,1.0,Evening
29,10,383.08,11.69184919,3,0,Female,North,Laptop,Credit Card,1151.38,4,20,1.0,Morning
39,3,131.38,36.86209658,3,0,Male,South,Tablet,UPI,556.91,4,20,0.0,Morning
61,8,123.72,37.6281263,1,0,Male,South,Television,UPI,336.95,3,3,0.0,Afternoon
